tissue,cohort,set_name,n_genes_in_set,n_genes_on_platform,unadjusted_mean_delta,wilcoxon_p,retention_D1,retention_joint,status,exclusion_reason
lung,TCGA_LUAD,HEBERT_MATRISOME_TNBC_LUNG_METASTASIS,23,23,-0.3438,0.00014159577907294326,1.2424,0.4311,included,
lung,TCGA_LUAD,HEBERT_MATRISOME_TNBC_LUNG_METASTASIS_TUMOR_CELL_DERIVED,6,,,,,,excluded,set size 6 outside 15 to 1000
lung,TCGA_LUAD,INAMURA_LUNG_CANCER_SCC_DN,13,,,,,,excluded,set size 13 outside 15 to 1000
lung,TCGA_LUAD,INAMURA_LUNG_CANCER_SCC_SUBTYPES_UP,14,,,,,,excluded,set size 14 outside 15 to 1000
lung,TCGA_LUAD,INAMURA_LUNG_CANCER_SCC_UP,13,,,,,,excluded,set size 13 outside 15 to 1000
lung,TCGA_LUAD,LANDEMAINE_LUNG_METASTASIS,21,21,0.5005,7.318824535224064e-10,0.4853,0.5526,included,
lung,TCGA_LUAD,LI_AMPLIFIED_IN_LUNG_CANCER,183,182,0.8313,3.892994595580846e-11,0.8298,0.7844,included,
lung,TCGA_LUAD,LI_LUNG_CANCER,41,40,0.3387,2.908129988895031e-07,0.3791,0.5867,included,
lung,TCGA_LUAD,LOCKWOOD_AMPLIFIED_IN_LUNG_CANCER,215,213,0.3529,6.975555861136655e-06,0.4333,0.5656,included,
lung,TCGA_LUAD,MCCLUNG_COCAINE_REWARD_5D,75,74,-0.2043,0.00032274993667746703,1.3288,0.6328,included,
lung,TCGA_LUAD,MCCLUNG_COCAIN_REWARD_4WK,74,74,-0.1098,0.04878938916963894,1.1628,0.193,included,
lung,TCGA_LUAD,MCCLUNG_CREB1_TARGETS_DN,56,55,-0.3933,8.987389313509483e-08,1.2246,0.9828,included,
lung,TCGA_LUAD,MCCLUNG_CREB1_TARGETS_UP,101,100,-0.0967,0.027074615955331192,3.1134,1.9377,included,
lung,TCGA_LUAD,MCCLUNG_DELTA_FOSB_TARGETS_2WK,49,49,0.0339,0.7072857632165697,,,excluded,no unadjusted paired effect (two-sided Wilcoxon P >= 0.05)
lung,TCGA_LUAD,MCCLUNG_DELTA_FOSB_TARGETS_8WK,49,49,-0.168,0.015542555286149468,1.5763,0.5393,included,
lung,TCGA_LUAD,MCDOWELL_ACUTE_LUNG_INJURY_DN,47,46,-0.6838,9.389072770085713e-11,0.7018,0.4265,included,
